urlDrugName,highly_effective,benefitsReview
keppra,Not Effective,"We aren't sure.  We wonder if it is really controlling the seizures at all.  We are hoping our daughter can get testing to determine if her seizures are catamenial in nature.  She was on carbatrol with complete control, but was switched to Keppra due to her upcoming marriage (much lower risk of birth defects and ability to use birth control pills while on it).  She was completely weaned off of Carbatrol at one point and went almost 8 weeks with no seizure activity.  She also went 5-1/2 months with no seizure activity with Keppra before having a tonic clonic seizure.  Due to her history of seizures (started at the age of 14 a couple of months after she started her period), and the ability to go for long periods of time without problems, we wonder if she is having extreme spikes in estrogen when she ovulates from time to time. We hope that our neurologist will work with an endocrinologist and gynocologist to see if there is some validity to our theory.  The goal is to get her back under complete control."
zoloft,Not Effective,made my daughter less anxious
baraclude,Effective,"The viral load count was reduced from millions to less than a hundred within 9 months. Though the virus cannot be completely removed, reduction in number helped my physiological health in addition to the physical. I've been continuing taking the drugs, and would likely continue until 2 years."
zantac,Effective,Extreme urticaria (hives) on forearms and mild (hives) on face and legs were near completely cured with the Zantac.
wellbutrin-xl,Not Effective,"Stabalized mood, decreased fatigue, better outlook on life."
eulexin,Effective,Completely cleared resistant adult cystic acne that had not responded to any topical meds or to Accutane.
provigil,Effective,"Increased alertness  throughout the day with increased sleep quality. I still have to take naps in my car on some days, but overall this medicine is working great for me."
neurontin,Effective,reduction of daily muscle tension headaches to about one headache every 6-7 days with decreased severity
prinivil,Effective,"Blood pressure numbers decreased significantly. Had headaches in the past, most likely due to high blood pressure - no longer having any problems with headaches."
retin-a-micro,Not Effective,"None at all; my acne went from mild to severe. I woke up everyday with big new, painful whiteheads. Each time a group of pimples went away, several new ones formed immediately. I also have oily skin, and I read that Retin-A rapidly reduces oil; my skin is just as oily as the day I started and my acne is as bad as when I was a teenager."
viagra,Effective,Strong erections
keflex,Effective,I took the Keflex before my dental apppointment because of Mitral Valve Prolapse.  I did not get a heart infection.
minocycline,Not Effective,"Clear appearance of skin, decreased pimples and cysts, it took one month for the medication to start working and had moderate effects"
proscar,Effective,"Hair came back from a thinning status and a visible scalp through the hair to a much thicker condition with little visible scalp through the hair..
confidence back. i no longer look older than i feel and think my overall esteem has been improved"
requip,Effective,relief
motrin,Not Effective,The Ibuprofen helped relieve pain and swelling from the sprained ankle. It lowered the amount of time it took to heal the ankle and also provided lasting relief from discomfort caused by swelling and pain. Swelling was substantially lowered after a week period and steps were taken to allow the ankle to regain flexibility due to subsiding of pain.
naproxen,Effective,I first tried ibuprofen 800 mg with very little results other than upset stomach between epidural treatments (3) i
propecia,Effective,"The hair loss stopped in 2 weeks, I am almost even sure that I have growth again on the area where I lost hairs. The effect were visble really quickly and I do not see any sort side effects as of now."
prozac,Effective,"Having had severe TPM symptoms for many years, I asked my doctor for Fluoxetine. The benefits were a total feeling of ""well-being"". Without the extreme ""high"" feeling of anfetamines (taken before as part of a supervised diet regimen). High decrease on anxiety. Appetite more controled. Clearness of my thoughts. Decrease on crisis of depression (specially during the days previous to my periods). More ""energy"" during the day to the daily things.. decrease on obsessive compulsive (mild) disorder"
paxil,Effective,"anxiety and nervousnees diappeared. was able to engage in social activities with no fear.was mor functional on the job, procrastination and econd guessing myself was to a minimal. low self esteem was elevated , did not have such a poor view of myself. i felt calm and confident"
galzin,Not Effective,recoverd from loose motions. nothing more to add. thanks nothing more to add. thanks nothing more to add. thanks nothing more to add. thanks nothing more to add. thanks nothing more to add. thanks
